区域,名称,景点id,类型,级别,热度,地址,特色,经纬度
湖南·张家界·武陵源区,《烟雨张家界》,623723837,文化古迹,,热度 0.0,张家界黄龙洞景区·哈利路亚音乐厅,寻前世情缘 与烟雨相约,"110.620486,29.368696"
江苏·南京·江宁区,七仙大福村,4057472350,文化古迹,,热度 0.0,江苏省南京市江宁区横溪镇西岗社区七仙大福村,秦朝郡县，唐朝集镇,"118.708374,31.652223"
山东·潍坊·高密市,高密莫言故居,551058619,文化古迹,,热度 0.0,山东省潍坊市高密,争相一游的新景点,"119.953523,36.467706"
江苏·苏州·大阳山国家森林公园,大阳山文殊寺,997156198,文化古迹,,热度 0.0,江苏省苏州市新区浒墅关经济开发区阳山环路8号,当笑迎八方天下客， 喜生四面善香缘,"120.474839,31.345723"
山西·大同·城区,大同古城墙,2185858266,文化古迹,,热度 0.0,山西大同市和阳内街,城墙高大雄伟，坚固险峻，布防严密,"113.318821,40.10717"
清迈府·清迈,塔佩门,1657240484,文化古迹,,热度 0.0,"ThaPhaeRoad,ChiangMai,50300,Thailand",周日夜市的起点,"98.9932291,18.7877403"
夜功·夜功,树中佛寺,2245380473,文化古迹,,热度 0.0,"Tambon Bang Kung, Chang Wat Samut Songkhram 75120泰国",让人沉浸在一派祥和轻松的气氛中,"99.9415855,13.4461359"
广岛,原子弹爆炸圆顶屋,45112144,文化古迹,,热度 0.0,日本  广岛  ,原子弹爆炸后遗址,"132.453592,34.395483"
马德里自治区·马德里,东方广场,1411551762,文化古迹,,热度 0.0,"Plaza de Oriente, s/n, 28013 Madrid, Spain",展示了马德里皇室荣耀的遗迹和生动的历史,"-3.71217212826014,40.4184104210373"
伯尔尼州·伯尔尼,时钟塔,3458594300,文化古迹,,热度 0.0,"Bim Zytglogge 3, 3011 Bern, 瑞士",一座中世纪塔楼,"7.4479231238,46.9471769784"
斯德哥尔摩省·斯德哥尔摩,斯德哥尔摩王宫,2216650447,文化古迹,,热度 0.0,"Gamla Stan  Riddarholmen, Stockholm, Sweden",瑞典国王的官方居所,"18.071718364954,59.3268219789905"
布达佩斯,布达皇宮,2351699602,文化古迹,,热度 0.0,"Szent Gyorgy ter, Budapest 1014, Hungary",联合国教科文组织世界遗产,"19.0395669415593,47.4962043762207"
京都府·京都,嵯峨野,2988538733,文化古迹,,热度 0.0,日本京都 616-8385右京区嵯峨野,嵯峨野，盘踞在优美的小仓山东麓,"135.6811971,35.0187568"
吉隆坡,皇家山,2654156644,文化古迹,,热度 0.0,"45000 Kuala Selangor, Selangor，malaysia",雪兰莪苏丹的王城,"101.248657705522,3.34094967353151"
维罗纳,加尔达湖,4247129598,文化古迹,,热度 0.0,位于Brescia和Verona之间，跨度了Verona，Brescia和Trentino三个省份,坐落着许多古老城镇、城堡和修道院,"10.634792,45.606028"
山西·太原·清徐县,宝源老醋坊,2579517977,文化古迹,,热度 0.0,山西太原市清徐县杨房兆路2号,被评为,"112.375196,37.513576"
河内,河内歌剧院,1990627961,文化古迹,,热度 0.0,"1 Trang Tien St, Hanoi Vietnam",融合了罗马和法式的建筑风格的剧院,"105.8574353,21.0242704"
加泰罗尼亚·巴塞罗那,加泰罗尼亚音乐厅,2314088784,文化古迹,,热度 0.0,"C/ Palau de la Música, 4-6, 08003 Barcelona, España",现代主义建筑大师蒙达内尔的作品,"2.17531303316355,41.3875747930031"
关岛,查莫洛文化村,1060591520,文化古迹,,热度 0.0,"HC1 , Inarajan, Guam , Mariana Islands",非常值得参观文化展示村,"144.752228279994,13.4776351346473"
胡志明市,统一宫,3778927447,文化古迹,,热度 0.0,"135 Nam Kỳ Khởi Nghĩa, Bến Thành, Quận 1, Hồ Chí Minh, 越南",庭院设计，互相呼应，浑然一体,"106.695986401004,10.7776506382996"
陕西·汉中·勉县,汉中马超墓,554067026,文化古迹,,热度 0.0,"陕西省汉中市勉县城西马公祠村,与武侯祠相距约1公里处",一代蜀汉名将之墓,"106.646857,33.157997"
广东·东莞·东莞市,南社明清古建筑群,1937996205,文化古迹,,热度 0.0,广东省东莞市茶山镇,流传下来的古建筑群尽显明清遗韵,"113.909952,23.073563"
台湾·高雄,旗后灯塔,1140686602,文化古迹,,热度 0.0,高雄市旗津区旗下巷34号,雪白的灯塔伫立於此，仿佛乘风破浪的船舰,"120.264005,22.613238"
福建·漳州·南靖县,塔下村,565605673,文化古迹,,热度 0.0,福建省漳州市南靖县,世外桃源,"117.05899,24.623607"
河北·唐山·滦县,滦州古城,230981825,文化古迹,,热度 0.0,河北省唐山市滦县老城滦州古城巡滦府,人杰地灵，物产丰富，历经千年文化滋养,"118.760314,39.746725"
上海·上海·嘉定区,云翔寺,38426165,文化古迹,,热度 0.0,上海市嘉定区南翔镇解放街263号,体会宗教神韵，陶冶情操，净化心灵,"121.313628,31.297317"
武里府·芭堤雅,芭堤雅小人国,996495367,文化古迹,,热度 0.0,"387 Moo 6 Sukhumvit Rd., Pattaya City Naklua, Banglamung , Chonburi, Chon Buri",芭堤雅小人国，是世界第四大微型景观,"100.90966,12.954438"
曼谷,古城七十二府,4063363678,文化古迹,,热度 0.0,296 1 หมู่ 7 ถนน สุขุมวิท ตำบล บางปูใหม่ อำเภอเมืองสมุทรปราการ สมุทรปราการ 10280泰国,古城76府，露天博物馆,"100.6208533,13.539215"
台湾·屏东,恒春古城,2616552424,文化古迹,,热度 0.0,台湾省屏东县恒春镇,形制保存完整，今已列为二级古迹,"120.7442518309,22.001568833311"
山西·晋城·泽州县,大阳古镇,3673707204,文化古迹,,热度 0.0,山西省晋城市泽州县大东线,秦汉以来中国古城镇的活化石,"112.810553,35.671597"
江西·上饶·龟峰,南岩寺,2752483221,文化古迹,,热度 0.0,江西省上饶市弋阳县南岩镇龟峰风景区南岩寺景区,寺随岩架立，不瓦而栋，不檐而藩,"117.452401,28.373265"
全州市,滋满壁书村,1971148970,文化古迹,,热度 0.0,全羅北道全州市完山區滋滿洞1街1-10一帶,壁画村五彩缤纷、活泼有趣,"127.1517558,35.8151113"
北京·北京·前门大街,大城小像•北京,2458342335,文化古迹,,热度 0.0,北京市东城区前门大街步行街26号,一日穿越千年，亲历北京的前世与今生,"116.40498,39.898003"
香港·香港·九龙,香港低密度豪宅,1648791406,文化古迹,,热度 0.0,九龙区一带的低密度豪宅,时光隧道很快带大家进入几十年前的香港,"114.177679,22.327798"
云南·迪庆·香格里拉县,遇见·香格里拉秀,450342596,文化古迹,,热度 0.0,云南省香格里拉市达娃路67号独克宗花巷（独克宗古城北门）,传承延续藏地独特民俗风情，展示藏文化,"99.710291,27.820377"
福建·龙岩·永定土楼群（福建客家土楼）,南溪土楼群,3154278069,文化古迹,5A景区,热度 1.0,福建省龙岩市永定县湖坑下南溪,一座没有大门的中国客家土楼博物馆,"116.911873,24.556302"
孟买,贾特拉帕蒂·希瓦吉火车站,2356484611,文化古迹,,热度 0.0,"Chhatrapati Shivaji Terminus, Mumbai",历史的痕迹在这里留下,"0.0,0.0"
孟买,印度门,1458169084,文化古迹,,热度 1.0,亚洲-印度,"孟买的象征,融合印度和波斯文化建筑特色","72.8346543,18.9219841"
孟买,象岛,1397030700,文化古迹,,热度 1.0,亚洲-印度,以“城堡城市”著称,"72.9312921000001,18.9608385"
江苏·淮安·楚州区,淮安府署,3330828299,文化古迹,4A景区,热度 0.0,江苏省淮安市淮安区东门大街38号淮安府署,全国仅存之一的古代府级官衙,"119.152085,33.516746"
山东·济南·历下区,王府池子,4232789365,文化古迹,,热度 0.0,济南历下区,,"117.03024,36.673659"
湖北·荆州·洪湖市,洪湖生态旅游风景区,1776813507,文化古迹,4A景区,热度 0.0,湖北省荆州洪湖市瞿家湾唐城大道18号,品尝野生动植物，感受娴静的慢生活,"113.210804,29.936136"
湖南·张家界·桑植县,苦竹寨,2271205444,文化古迹,,热度 0.0,湖南省张家界市桑植县,商贾云集的古集市，明清社会的万花筒,"110.14781,29.337427"
浙江·金华·磐安县,舞龙峡,299734253,文化古迹,,热度 0.0,浙江省金华市磐安县城尖山镇,须臾犀利寒气来，紧衣欲去重装回,"120.740257,29.218345"
浙江·宁波·慈溪市,五磊山,3763940480,文化古迹,3A景区,热度 0.7,浙江省宁波慈溪市观海卫镇,有“小桃源”之美誉,"121.396522,30.088921"
河南·鹤壁·浚县,大伾山景区,544974873,文化古迹,4A景区,热度 0.0,河南省鹤壁市浚县城关镇伾浮路东段97号,山上松柏竞翠，寺庙幽幽，山顶风光优美,"114.562151,35.666715"
山东·日照·莒县,浮来山,1623205422,文化古迹,4A景区,热度 0.7,山东省日照市莒县浮来山镇,山呈平地崛起之势，有水上浮来之感,"118.745159,35.606198"
辽宁·朝阳·朝阳县,朝阳千佛洞旅游区,1665629879,文化古迹,3A景区,热度 0.0,辽宁省朝阳市朝阳县南双庙乡山后村,千佛洞的神奇和佛光焕发着璀璨光辉,"120.348477,41.285702"
山东·菏泽·郓城,水浒好汉城,1624001160,文化古迹,4A景区,热度 0.0,山东省菏泽市郓城县西门街南段,水浒故事的发源地,"115.93948,35.591736"
上海·上海·黄浦区,上海城隍庙,4027805800,文化古迹,,热度 0.76,上海市黄浦区方浜中路249号,“中华一绝”的民俗艺术,"121.49912146681,31.231409005048"
巴厘岛·乌布,乌布皇宫,3392090365,文化古迹,,热度 0.0,Jl. Monkey Forest与Jl. Raya Ubud两街交会点,住宿在皇宫里，感受王室生活,"115.262736137689,-8.50672762651456"
江苏·苏州·吴中区,东山陆巷古村,2587273295,文化古迹,5A景区,热度 0.0,江苏省苏州市吴中区东山镇陆巷古村,依山面湖，景色佳绝，历史悠久，人杰地灵,"120.367021,31.081751"
北京·北京·东城区,北京明城墙遗址公园,3300546012,文化古迹,4A景区,热度 0.0,北京市东城区（原崇文区）崇文门东大街9号,大型城垣转角角楼，绵延古朴,"116.442055,39.909212"
福建·厦门·翔安区,厦门小嶝休闲渔村,3344118753,文化古迹,3A景区,热度 0.0,福建省厦门市翔安区小嶝岛,为你打造“海”中央的惬意“岛生活”,"118.392507,24.561512"
海南·琼海,万泉湖,3204975602,文化古迹,,热度 0.0,海南省琼海市牛路岭水电站,湖面宽阔，岛屿众多，青山碧水，景色迷人,"110.212029,19.012274"
河南·驻马店·汝南县,南海禅寺,469390170,文化古迹,4A景区,热度 0.0,河南省驻马店市汝南县南海大道,南海禅寺南海禅寺位于中国河南省驻马店市汝南县县城东南隅，占地500余亩，始建于明朝嘉靖年间（公元1545年），历史上被誉,"114.373375,33.004145"
浙江·绍兴·越城区,周恩来祖居,4267056693,文化古迹,,热度 0.0,浙江省绍兴县越城区劳动路369号,具有浓厚的绍兴地方特色,"120.592536,30.008176"
山东·青岛,青岛德国地下指挥要塞遗址博物馆,3871781494,文化古迹,,热度 0.0,青岛市市北区兴安支路1号,浓缩百年青岛历史,"120.349592,36.075817"
湖南·长沙·宁乡县,千佛洞,3981597563,文化古迹,3A景区,热度 0.7,湖南省长沙市宁乡县104县道,传说神奇美好，巨石寓意深厚,"112.146698,28.219775"
江苏·苏州·虎丘区,白鹤寺,3967571693,文化古迹,,热度 0.0,苏州市虎丘区枫桥街道马涧路高景山,白鹤寺是在阳山的白鹤峰下，又称澄照寺,"120.516019,31.322309"
湖南·湘西·永顺县,老司城,3306510297,文化古迹,,热度 0.72,湖南省湘西市,天然土家族“露天博物馆”，寻幽觅古胜地,"109.982944,28.999625"
江西·南昌·新建县,汪山土库,498856714,文化古迹,3A景区,热度 0.7,江西省南昌市新建县大塘坪乡汪山岗,典型的具有江南特色的官宦豪宅,"115.916954,29.017306"
浙江·杭州·富阳市,通天飞瀑,3020674808,文化古迹,,热度 0.7,浙江省杭州富阳市胥口镇岩石岭上连村,山、洞、水、林、石，自然生态丰姿华丽,"119.636528,30.008136"
浙江·绍兴·绍兴县,安康寺,2683357009,文化古迹,,热度 0.0,浙江省绍兴市绍兴县柯桥区安昌老街寺桥南岸,殿阁楼堂，次第落成,"120.498018,30.1418"
江苏·泰州·姜堰市,溱潼古镇,3268751051,文化古迹,4A景区,热度 0.86,江苏省泰州姜堰市鹿鸣西路溱潼镇,远离浮华，探寻千年古镇的神秘处,"120.104311,32.656733"
浙江·杭州·建德市,新叶古村,3118529961,文化古迹,,热度 0.7,浙江省杭州建德市大慈岩镇新叶村,到一个历史悠久、民风淳朴的古村放松心灵,"119.34046,29.334633"
陕西·延安·宝塔区,杨家岭革命旧址,1454679020,文化古迹,3A景区,热度 0.72,陕西省延安市宝塔区杨家岭路,中共中央驻地旧址,"109.473911,36.624323"
辽宁·大连·旅顺口区,肃亲王府遗址,1156343471,文化古迹,,热度 0.7,辽宁省大连市旅顺口区,砖石结构俄式二层楼房建筑，文物保护单位,"121.233863,38.816611"
浙江·宁波·江东区,庆安会馆,3761191542,文化古迹,3A景区,热度 0.74,浙江省宁波市江东区江东北路156号,宁波的标志性建筑，昔日通商的历史见证,"121.568995,29.878539"
西藏·林芝·波密县,波密,3428580656,文化古迹,,热度 0.76,西藏自治区林芝波密县,成为藏东南高度自治的一个独立王国,"95.774005,29.865291"
河北·唐山·遵化市,万佛园,3717204477,文化古迹,4A景区,热度 0.72,河北省唐山遵化市东陵乡元宝山村,集人文景观、旅游、参学为一体的佛教胜地,"117.633312,40.192823"
重庆·重庆·沙坪坝区,白公馆,303318825,文化古迹,,热度 0.8,重庆市沙坪坝区,缅怀英烈并为之扼腕叹息的革命遗迹,"106.431658,29.577525"
沙巴,东姑阿都拉曼国家公园,3807808247,文化古迹,,热度 0.0,亚洲-马来西亚,椰林树影，水清沙幼,"101.758351,3.210583"
广西·桂林·叠彩伏波景区,叠彩山,1069845752,文化古迹,,热度 0.76,广西壮族自治区桂林市龙珠路2号叠彩山,观历代名人摩崖石刻，登叠彩一览桂林全景,"110.30751,25.296191"
广东·广州·花都区,圆玄道观,1253915151,文化古迹,,热度 0.7,广东省广州市花都区新华镇迎宾大道西38号,仿古建筑别具风格，富有道教特色,"113.186614,23.404291"
河北·唐山·迁西县,景忠山,2349974449,文化古迹,4A景区,热度 0.72,河北省唐山市迁西县三屯营镇神佛宫南行600米路东,三忠供一庙，世间独此双景,"118.209056,40.201455"
甘肃·酒泉·敦煌莫高窟,西千佛洞,820850103,文化古迹,,热度 0.72,甘肃省酒泉市敦煌市,风光绮丽，环境幽雅，洞内壁画艳丽夺目,"94.371612,39.982233"
胡志明市,天后宫,4242070057,文化古迹,,热度 0.0,714/3 Nguyễn Trãi，phường 11，Hồ Chí Minh，越南,当地华人的信仰中心,"106.681371,10.768292"
浙江·杭州·富阳市,龙门古镇,2170434762,文化古迹,4A景区,热度 0.7,浙江省杭州富阳市龙门镇牌楼龙门古镇内,千年迷魂镇，据传是三国孙权的故里,"119.956998,29.906072"
迪拜,迪拜国家博物馆,3780617924,文化古迹,,热度 0.0,亚洲-沙特阿拉伯,当地历史文物的景点之一,"55.2972188,25.2632325"
山西·临汾·尧都区,尧帝陵,3214662079,文化古迹,,热度 0.72,山西省临汾市尧都区,千古帝陵,"111.796576,36.073515"
陕西·咸阳·泾阳县,崇文塔,42797617,文化古迹,,热度 0.7,陕西省咸阳市泾阳县崇文乡,矗立于泾河北岸的省级重点文物保护单位,"108.939944,34.484709"
四川·成都·青羊区,文殊院,1529811240,文化古迹,,热度 0.8400000000000001,四川省成都市青羊区酱园公所街58号,前身是唐代的妙圆塔院，川西著名佛教寺院,"104.07918,30.681619"
海南·文昌,宋庆龄祖居,3447372024,文化古迹,,热度 0.7,海南省文昌市昌洒镇古路园村,生动翔实地再现了宋庆龄光辉的一生,"110.877511,19.745748"
天津·天津·河北区,大悲禅院,3670702985,文化古迹,4A景区,热度 0.78,天津市河北区天纬路中段东北侧,朱门绿瓦，佛坛高筑，松柏参天，庄严静穆,"117.188943,39.156246"
河北·保定·南市区,古莲花池,3781657200,文化古迹,3A景区,热度 0.74,河北省保定市南市区裕华西路160号,冀中平原上一颗古代园林明珠,"115.50574,38.862805"
贵州·黔东南·施秉县,施秉云台山,1751863878,文化古迹,4A景区,热度 0.86,贵州省黔东南州施秉县,不可比拟的自然之美,"108.119931,27.109204"
首尔,昌德宫,1671883655,文化古迹,,热度 1.0,韩国首尔市钟路区卧龙洞2-71,参观王室的生活空间,"126.9910426,37.5794309"
江苏·苏州·常熟市,曾赵园,2796363949,文化古迹,,热度 0.7,江苏常熟市城区西南隅翁府前,环池而筑，参差错落，布置得宜,"120.742007,31.64802"
加利福尼亚州·旧金山,旧金山唐人街,3414093609,文化古迹,,热度 0.0,美国旧金山,城中之国，异国情调十足,"-122.407827586508,37.7945643539972"
广西·钦州·灵山县,大芦村古宅,702798038,文化古迹,,热度 0.7,广西钦州市灵山县城东8公里的大芦村,依山傍水，古静幽深，见证着历史的辉煌,"109.347774,22.462144"
安徽·合肥·包公园,包公墓,3692659438,文化古迹,,热度 0.74,安徽合肥市芜湖路58号,与包公祠紧紧相连,"117.297009,31.858315"
上海·上海·嘉定区,古猗园,2671837651,文化古迹,4A景区,热度 0.7,上海市嘉定区南翔镇沪宜路218号,猗猗绿竹，幽静曲水，韵味隽永,"121.323438,31.298418"
河南·安阳·汤阴县,岳飞庙,463987633,文化古迹,4A景区,热度 0.74,河南省安阳市汤阴县岳庙街,一代精忠，汤阴岳飞庙,"114.361069,35.926196"
河北·承德·双桥区,城隍庙,554739284,文化古迹,,热度 0.7,河北省承德市双桥区西大街62号,典型的汉式寺庙，格局简炼，气度与众不同,"117.931615,40.992716"
新疆·巴音郭楞·库尔勒市,罗布人村寨,1816191295,文化古迹,4A景区,热度 0.72,新疆库尔勒巴音西路林业局53号,涉沙海深处，看大漠风光，听驼铃遗韵,"86.121885,41.06401"
澳门·澳门·澳门半岛,妈阁庙,677808782,文化古迹,,热度 0.72,澳门南端妈阁山西麓,百年历史，立庙奉祀妈祖之地,"113.542846,22.189468"
云南·德宏·梁河县,梁河南甸土司衙门,4108887797,文化古迹,4A景区,热度 0.7,云南省德宏州梁河县哲岛镇南甸路103号,房屋规划整齐，规模宏大，雕梁画栋,"98.303695,24.813874"
江苏·南通·如皋市,水绘园,2765676641,文化古迹,4A景区,热度 0.72,江苏省南通如皋市碧霞路299号,国内著名的古园林，南北东西皆水绘其中,"120.574196,32.401482"
山东·济宁·曲阜,孔子六艺城,2021366089,文化古迹,4A景区,热度 0.72,山东省济宁曲阜市春秋路15号,建筑格局独特，内容丰富多彩，内涵深厚,"117.002815,35.586768"
广东·江门·开平市,马降龙村落,1744615959,文化古迹,,热度 0.72,广东省江门市开平市百合镇,村中翠竹森森，绿树成荫，宛如人间仙境,"112.57893,22.285587"
东京,皇居,1189583648,文化古迹,,热度 0.0,亚洲-日本,日本皇室包括日皇居住的宫殿,"139.752799808979,35.6851726056862"
陕西·西安·长安区,香积寺,1091194973,文化古迹,,热度 0.7,陕西省西安长安区香积寺,幽深、静谧、闲淡,"108.89936,34.127706"
胡志明市,堤岸,1323331307,文化古迹,,热度 0.0,亚洲-越南-胡志明市,胡志明市的“唐人街”,"106.663037813492,10.7531557318497"
陕西·西安·户县,草堂寺,2550212206,文化古迹,3A景区,热度 0.7,陕西省西安市户县圭峰山北麓,建寺年代虽已不可考，但史书上有明确记载的时后秦时以有“十万流沙来振锡，三千弟子共译经”的规模。 这里是高僧鸠摩罗什（中国,"108.750629,34.018409"
香港·香港·新界,车公庙,2201205085,文化古迹,,热度 0.7,香港新界沙田车公庙路7号,极具日本建筑风格，参观游客众多,"114.19429724298,22.3763885498046"
河北·秦皇岛·山海关区,山海关孟姜女庙景区,1687941631,文化古迹,,热度 0.72,河北省秦皇岛市山海关区姜女庙路1号,孟姜女千里寻夫哭倒长城,"119.830169,40.043153"
山西·太原·晋源区,太山龙泉寺,1864883685,文化古迹,,热度 0.7,山西省太原市晋源区风峪沟北,四周丛林遍野，古柏掩映，寺隐其间,"112.451776,37.750424"
槟城,槟城极乐寺,3241496560,文化古迹,,热度 0.0,"Kek Lok Si Temple ,11500 Ayer Itam, Penang",槟州的一大建筑奇景,"100.2725403,5.3977901"
苏格兰·格拉斯哥,人民宫,3707482098,文化古迹,,热度 0.0,英国格拉斯哥,社会史博物馆,"-4.23739202320576,55.8512884589503"
纽约州·纽约,大都会艺术博物馆,172966333,文化古迹,,热度 1.0,"1000 Fifth Ave. at 82nd St. New York, NY 10028",展出内容却丰富多彩的大型博物馆,"-73.963244,40.7794366"
湖南·岳阳·岳阳楼区,张谷英村,210963424,文化古迹,,热度 0.74,湖南省岳阳市岳阳县张谷英镇,村内保留有1700多座明清建筑,"113.490454,29.010263"
云南·丽江·玉龙县,老君山,797874287,文化古迹,,热度 0.72,云南省丽江市玉龙纳西族自治县,世界自然遗产“三江并流”的八大片区之一,"99.782756,26.653706"
湖南·湘西·凤凰古城,沈从文故居,1131007793,文化古迹,,热度 0.9199999999999999,湖南省湘西市凤凰县凤凰古城,有浓郁的湘西特色，湖南重点文物保护单位,"109.609116,27.952453"
安徽·亳州·毫州市,花戏楼,3438931277,文化古迹,4A景区,热度 0.7,安徽省亳州市谯城区咸宁街一号花戏楼路北段路东,建筑雕刻精湛、彩绘绚丽，驰名中外,"115.779926,33.890649"
福建·南平·武夷山市,下梅古村,381976207,文化古迹,,热度 0.72,福建省南平武夷山市下梅村后巷1号,集三雕艺术于一体的清代民居特色建筑群,"118.052719,27.673668"
辽宁·丹东·振安区,五龙山,3983046128,文化古迹,4A景区,热度 0.72,辽宁省丹东市振安区五龙背镇老古沟村,恰似一副饱含浓墨的水墨丹青,"124.34106,40.259306"
山东·泰安·新泰市,新泰莲花山,1122809324,文化古迹,4A景区,热度 0.7,山东省泰安新泰市迈莱河路北首与莲花路交接处,自然景色变幻无穷，让人心旷神怡,"117.642377,35.97921"
四川·阿坝藏族羌族自治州·马尔康县,卓克基土司官寨,1191968170,文化古迹,,热度 0.7,四川马尔康县东7公里的卓克基乡西索村,依山傍水，景色秀丽,"102.292064,31.866114"
新疆·阿勒泰·哈巴河县,白哈巴,4181509616,文化古迹,,热度 0.76,新疆阿勒泰哈巴河县铁热克提乡境内,西北第一村和西北第一哨,"86.791856,48.699162"
浙江·温州·永嘉县,岩头村,279174333,文化古迹,,热度 0.7,浙江省温州市永嘉县岩头村,以科学的水利设施和巧妙的村庄布局而闻名,"120.741171,28.344445"
重庆·重庆·南岸区,老君洞,3130570406,文化古迹,,热度 0.7,重庆市南岸区上新街以东约2千米的山上,曾经一度成为天师道场,"106.60663,29.549334"
广东·潮州·潮州古城,韩文公祠,228509128,文化古迹,3A景区,热度 1.0,广东省潮州市湘桥区东兴北路,倚山临水，古朴清幽，庄重肃穆,"116.662381,23.663248"
山东·济宁·嘉祥县,武氏墓群石刻,4245612997,文化古迹,,热度 0.0,山东省济宁市嘉祥县武翟山村,武氏墓群石刻，俗称武梁祠。原是东汉末年嘉祥仕宦世家武氏的一处祠堂，祠堂始建于桓帝建和元（公元147年）祠内石刻包括石 、,"116.354192,35.28906"
浙江·杭州·富春江小三峡,严子陵钓台,1890746176,文化古迹,4A景区,热度 0.7,浙江省杭州市桐庐县富春江镇云源路1号,山水秀美绝伦，历史风貌绵延不尽浩瀚,"119.665525,29.703242"
安徽·亳州·毫州市,南京巷钱庄,182169221,文化古迹,3A景区,热度 0.72,安徽省亳州市北关南京巷19号,金融机构旧址,"115.780733,33.888476"
北京·北京·密云县,冶仙塔,429217955,文化古迹,,热度 0.7,北京市密云县檀营乡檀营村冶山,密云外八景之一,"116.877047,40.400083"
江西·九江·庐山风景名胜区,美庐别墅,183348653,文化古迹,,热度 0.74,江西省九江市庐山区庐山景区内,日夜被包裹在漂浮的烟云中，令人神往,"115.990123,29.570063"
香港·香港·九龙,黄大仙祠,4102531405,文化古迹,,热度 0.74,香港九龙黄大仙竹园村,黄大仙祠享负盛名，终年香火鼎盛,"114.205626,22.345962"
河南·郑州·登封市,三皇寨,2924403949,文化古迹,,热度 0.76,河南省登封市,以山岳自然风光为主的景区,"112.934053,34.470438"
江苏·南京·玄武区,鸡鸣寺,82440822,文化古迹,,热度 0.78,江苏省南京市玄武区鸡鸣寺路1号,南京著名古寺之一,"118.802157,32.066601"
四川·眉山·洪雅县,柳江古镇,207323220,文化古迹,,热度 0.86,四川省眉山市洪雅县,是四川十大古镇之一,"103.232125,29.719085"
江西·上饶·婺源风景区,彩虹桥,587861724,文化古迹,,热度 0.82,江西省上饶市婺源县清华镇彩虹桥旅游区,800年风雨岁月，无限的哲学思想,"117.783041,29.421743"
河北·廊坊·香河县,中信国安第一城,305218237,文化古迹,4A景区,热度 1.0,河北省廊坊市香河县安平镇,传统文化氛围，造属于老百姓的嘉年华,"116.913678,39.721352"
西藏·日喀则·日喀则市,扎什伦布寺,490370479,文化古迹,5A景区,热度 0.9,西藏日喀则市几吉郎卡路1号,可与布达拉宫相媲美，六大黄教寺院之一,"88.879118,29.269685"
湖北·黄冈·黄梅县,四祖寺,4166155944,文化古迹,,热度 0.8,湖北省黄冈市黄梅县,既是佛教胜地，又是优美的风景区,"115.803679,30.125909"
新疆·喀什·塔什库尔干县,喀什石头城,3748668997,文化古迹,,热度 0.82,新疆喀什地区塔什库尔干县城北侧,新疆境内古道上一个著名的古城遗址,"75.225791,38.062442"
北荷兰省·阿姆斯特丹,安妮·弗兰克故居,3658517399,文化古迹,,热度 1.0,"Prinsengracht 263-267, 1016 GV Amsterdam, 荷兰",这是一座带有故事的博物馆,"4.676406,52.506435"
素叻府·苏梅岛,安通国家公园,1045793421,文化古迹,,热度 0.0,泰国苏梅岛西方约20公里处,拥有梦幻般的美景，梦想中的天堂,"99.988694,9.499375"
山东·潍坊·临朐县,老龙湾,3988910158,文化古迹,3A景区,热度 0.78,山东省潍坊市临朐县冶源镇政府驻地,北国江南，鲁中桃源,"118.511958,36.420356"
重庆·重庆·云阳县,张飞庙,4099106744,文化古迹,4A景区,热度 0.72,重庆市云阳县盘龙街道龙安社区,游张飞庙,"108.711586,30.916548"
云南·楚雄·楚雄市,彝人古镇,895302075,文化古迹,4A景区,热度 0.8400000000000001,云南省楚雄市开发区永安西路,以建筑的美、文化的美征服了旅游者,"101.522677,25.058938"
北京·北京·东城区,紫禁城角楼,1954643367,文化古迹,,热度 0.7,北京市东城区景山前街4号,北京紫禁城角楼，轮廓优美，造型秀丽，尤其从碧波荡漾的水中观赏其倒影，颇有仙宫楼阁的景象。紫禁城角楼是四面凸字形平面组合,"116.398935,39.928483"
四川·成都·龙泉驿,洛带古镇,3007638726,文化古迹,4A景区,热度 0.74,四川省成都市龙泉驿区洛带镇,客家文化古镇，别忘了还有伤心凉粉哦,"104.328977,30.640483"
上海·上海·徐汇区,宋庆龄故居,3816367901,文化古迹,,热度 0.7,上海市徐汇区淮海中路1843号,纪念伟大女性宋庆龄不凡的一生,"121.445171,31.210584"
广东·江门·恩平市,恩平举人村,2081345034,文化古迹,,热度 0.74,广东省江门恩平市圣堂镇歇马村,在600多年的发展中培育了430多名举人,"112.379626,22.245679"
内蒙古·呼伦贝尔·鄂伦春旗,鄂伦春布苏里景区,16571520,文化古迹,4A景区,热度 0.7,内蒙古呼伦贝尔鄂伦春自治旗鄂伦春布苏里旅游区,原为东北综合后勤军事基地,"123.450185,50.567543"
内蒙古·包头·土默特右旗,美岱召,556821689,文化古迹,4A景区,热度 0.74,内蒙古自治区包头市土默特右旗美岱召镇110国道北面,是一座“城寺结合，人佛共居”的喇嘛庙,"110.716041,40.610486"
辽宁·葫芦岛·连山区,灵山寺,1642785311,文化古迹,3A景区,热度 0.7,辽宁省葫芦岛市西北35公里处的凉水子村西灵山中,是一处规模宏大的道、佛两教的古建筑群,"120.527152,40.963991"
江西·上饶·万年县,仙人洞遗址,985870124,文化古迹,,热度 0.72,江西省万年县大源镇,为新石器时代洞穴遗址,"117.18747376467,28.741031973431"
